Composer,Genre
Cole Porter/Nelson Riddle,Jazz
Corelli,Classical
Corelli (arr. T Billington),Classical
CPE Bach,Classical
D Buxtehude,Classical
D. Scarlatti,Classical
"D. Scarlatti, Lotti & Parry",Classical
Darius Milhaud,Classical
De Falla,Classical
Debussy,Classical
Debussy (orch. Abrahamsen),Classical
Debussy (orch. Matthews),Classical
Debussy Arr. Borwick,Classical
Debussy Arr. Bradford,Classical
Debussy Arr. Lenski,Classical
DEBUSSY Arr. SIMCOCK,Classical
Debussy Arr. Tomos Xerri & Claire Wickes,Classical
Delius,Classical
Dieterich Buxtehude,Classical
Dietrich Buxtehude,Classical
Dietrich Buxtehude (c.1637-1707),Classical
Dieupart,Classical
Dieupart Arr. Bach,Classical
Dimitri Shostakovich,Classical
Dimitri Shostakovitch,Classical
Dmitri Kabalevsky (1904-1987),Classical
Dmitri Shostakovich,Classical
Dmitri Shostakovich (arr. Barshai),Classical
Dmitry Shostakovich,Classical
Dmitry Shostakovich (1906-1975),Classical
Dmitry Shostakovich (1906-1975),Classical
Dohnanyi,Classical
Dohnányi,Classical
Domenico Scarlatti,Classical
Domenico Scarlatti (1685-1757 ),Classical
"Don Henley, Don Felder, Glenn Frey",Pop
"Don Henley, Glenn Frey, Joe Walsh",Pop
"Don Henley, Randy Meisner, Glenn Frey",Pop
Donizetti,Classical
Dove,Classical
Dukas,Classical
Duke Ellington,Jazz
Duke Ellington (arr Parry),Jazz
Duke Ellington/Juan Tizol,Jazz
Duran Duran,Pop
Duruflé,Classical
Dusty Springfield,Pop
Dutilleux,Classical
Duttileux,Classical
Dvorak,Classical
Dvorák,Classical
Dvo?âk,Classical
Dvo?ak,Classical
Dvo?ák,Classical
Dvo?ák Arr Mitchell,Classical
"Dvo?ák Arr. Kreisler, Josef Suk & Tom Poster",Classical
Dvo?âk Arr. Mitchell,Classical
Dvorák Arr. Scott,Classical
Dvo?ák Violin,Classical
Édouard Lalo,Classical
Edouard Lalo/arr: Frank Wright,Classical
Edvard Grieg,Classical
Edvard Grieg (1843-1907),Classical
Edward Elgar,Classical
Edward Elgar (1857-1934),Classical
Eleanor Alberga,Classical
Elegie: Rachmaninoff,Classical
Elgar,Classical
Elgar (arr. Donald Fraser),Classical
Elgar (arr. Payne),Classical
Elgar Arr Gareth Glyn,Classical
Elgar Howarth,Classical
Elgar-Payne,Classical
Elliott Carter,Classical
Elliott Carter (1908-2012),Classical
Emmanuel Chabrier (1841-1894),Classical
Enrique Granados,Classical
Enrique Granados (1867-1916),Classical
Eric Satie,Classical
Eric Satie (arr Dominic Muldowney),Classical
Erich Wolfgang Korngold,Classical
Erich Wolfgang Korngold (1897-1957),Classical
Erik Satie,Classical
Erik Satie (arr Jonathan Bates),Classical
Erik Satie (1866-1925),Classical
Ernest Chausson,Classical
Ernest Chausson (1855-1899),Classical
Ernst Chausson,Classical
Esa-Pekka,Classical
Esa-Pekka Salonen,Classical
Esa-Pekka Salonen (b.1958),Classical
Eugène Ysaÿe,Classical
Eugène Ysaÿe (1858-1931),Classical
Evgeny Kissin,Classical
F. Mendelssohn (arr. Vaughan Jones),Classical
F.Schubert/ F.Liszt,Classical
Falla,Classical
Fanny Mendelssohn,Classical
Fanny Mendelssohn (1805-1847),Classical
Fats Waller,Jazz
Faure,Classical
Fauré,Classical
Federico Mompou (1893-1987),Classical
Felix Mendelssohn,Classical
Felix Mendelssohn (1809-1847),Classical
Felix Mendelssohn Bartholdy,Classical
Felix Mendelssohn Bartholdy (1809-1847),Classical
Felix Mendelssohn (1809-1847),Classical
Felix Mendlessohn,Classical
Ferruccio Busoni,Classical
Ferruccio Busoni (1866-1924),Classical
Francis Poulenc,Classical
Francis Poulenc (arr Callum Harrison),Classical
Francis Poulenc & Liam Scarlett,Classical
Francis Poulenc (1899-1963),Classical
Francis Purcell,Classical
Francisco Guerrero,Classical
Francisco Guerrero (1528-1599),Classical
Franck,Classical
François Couperin,Classical
François Couperin (c.1631-1712),Classical
Frank Bridge,Classical
Frank Bridge (1879-1941),Classical
Frankie Valli,Pop
Frankie Valli & The Four Seasons,Pop
Frankie Valli & The Four Seasons Tribute,Pop
Franz Liszt,Classical
Franz Liszt & Kenneth MacMillan,Classical
"Franz Liszt, Arranged For Violin And Piano By Nathan Milstein",Classical
Franz Liszt (1811-1886),Classical
Franz Peter Schubert,Classical
Franz Schmidt,Classical
Franz Schreker (1878-1934),Classical
Franz Schubert,Classical
Franz Schubert (1797-1828),Classical
Franz Schubert (1797-1828),Classical
Franz Strauss,Classical
Freddie Mercury,Pop
"Freddie Mercury, Arr. Philippe Marillia",Pop
Frederic Chopin,Classical
Frédéric Chopin,Classical
Frederick Ashton &  Franz Liszt,Classical
Frederick Chopin,Classical
Fryderyk Chopin,Classical
Fryderyk Chopin (1810-1849),Classical
Fryderyk Chopin Arranged By Clare Grundman,Classical
Fryderyk Chopin (1810-1849),Classical
G F Handel,Classical
G Frescobaldi,Classical
G Gabrieli,Classical
Gabriel Faure,Classical
Gabriel Fauré,Classical
Gabriel Fauré (arr Jonathan Bates),Classical
Gabriel Fauré (1845-1924),Classical
Gabrieli,Classical
Gaetano Donizetti,Classical
Gaetano Donizetti (1797-1848),Classical
Georg Philipp Telemann,Classical
Georg Phillipp Telemann,Classical
Georg Phillipp Telemann (1681-1767),Classical
George & Ira Gershwin,Classical
George Butterworth,Classical
George Butterworth (1885-1916),Classical
George Enescu,Classical
George Enescu (1881-1955),Classical
George Frederic Handel,Classical
George Frideric Handel,Classical
George Frideric Handel (1685-1759),Classical
George Gershwin,Classical
George Gershwin (arr Strickland),Classical
George Gershwin (1898-1937),Classical
George Harrison,Pop
George Michael,Pop
George Michael & Andrew Ridgeley,Pop
George Michael & Jon Douglas,Pop
"George Michael, Freddie Washington & Patrice Rushen",Pop
George Michael's Hits:,Pop
Georges Bizet,Classical
Georges Bizet (arr McNaught),Classical
Georges Bizet & George Balanchine,Classical
Georges Bizet (1838-1875),Classical
